"",">40hrs/week",">$14/hr","no kids","age <40yrs","not disabled","after 1983"
"2",0,0,0,1,1,0
"3",1,0,0,1,1,0
"4",1,0,0,1,1,0
"5",0,0,0,1,1,0
"6",0,0,0,1,1,0
"7",0,0,0,1,1,1
"8",0,0,0,1,1,1
"9",1,0,0,1,1,1
"10",1,0,0,1,1,1
"11",1,0,0,1,1,1
"12",0,0,0,1,1,0
"13",0,0,0,1,0,0
"14",0,0,0,1,0,0
"15",0,0,0,1,0,0
"16",0,1,0,1,1,0
"17",0,0,0,0,1,1
"18",0,0,0,0,0,1
"19",0,0,0,0,1,1
"20",1,0,0,0,1,1
"21",0,0,1,0,1,1
"22",0,0,1,1,0,0
"23",0,0,1,1,1,0
"24",0,0,1,1,1,0
"25",0,0,1,1,1,0
"26",0,0,1,1,1,0
"27",0,0,1,1,1,1
"28",0,1,1,1,0,1
"29",0,1,1,1,1,1
"30",1,1,1,1,1,1
"31",0,1,1,1,0,1
"32",1,0,1,1,1,0
"33",1,0,1,1,1,0
"34",1,0,1,1,1,0
"35",1,0,0,1,1,0
"36",1,0,0,1,1,0
"37",1,0,0,1,1,1
"38",1,0,0,1,1,1
"39",1,0,0,1,1,1
"40",1,0,0,1,1,1
"41",1,0,0,1,1,1
"42",1,0,0,1,1,0
"43",1,0,0,1,1,0
"44",1,0,0,1,1,0
"45",1,0,0,1,1,0
"46",1,0,0,1,1,0
"47",1,0,0,1,1,1
"48",1,0,0,1,1,1
"49",1,0,0,1,1,1
"50",1,0,0,1,1,1
"51",1,0,0,0,1,1
"52",1,1,0,1,1,0
"53",1,0,0,1,1,0
"54",1,1,0,1,1,0
"55",1,1,0,1,1,0
"56",1,1,0,1,1,0
"57",1,1,0,1,1,1
"58",1,1,0,1,1,1
"59",1,0,0,1,1,1
"60",1,1,0,1,1,1
"61",1,1,0,0,1,1
"62",1,0,0,0,1,0
"63",1,0,0,0,1,0
"64",1,0,0,0,1,0
"65",1,0,0,0,1,0
"66",1,0,0,0,1,0
"67",1,0,0,0,1,1
"68",1,0,0,0,1,1
"69",1,0,0,0,1,1
"70",1,0,0,0,1,1
"71",1,0,0,0,1,1
"72",0,0,0,1,1,0
"73",0,0,0,1,1,0
"74",0,0,0,1,1,0
"75",0,0,0,0,1,0
"76",0,0,0,0,1,0
"77",1,0,0,0,1,1
"78",0,0,0,0,1,1
"79",0,0,0,0,1,1
"80",0,0,0,0,1,1
"81",1,0,1,0,1,1
"82",0,0,0,1,1,0
"83",0,0,0,1,1,0
"84",0,0,0,1,1,0
"85",0,0,0,1,1,0
"86",0,0,0,1,1,0
"87",0,0,0,1,1,1
"88",0,1,0,1,1,1
"89",0,0,0,1,1,1
"90",0,1,0,1,1,1
"91",1,1,0,1,1,1
"92",0,1,1,0,1,0
"93",1,1,1,0,1,0
"94",0,1,1,0,1,0
"95",1,1,1,0,1,0
"96",0,1,1,0,1,0
"97",1,1,1,0,1,1
"98",1,1,1,0,1,1
"99",0,1,1,0,1,1
"100",0,1,1,0,1,1
"101",1,1,1,0,1,1
"102",1,0,0,1,1,0
"103",0,0,0,1,1,0
"104",0,0,0,1,1,0
"105",0,0,0,1,1,0
"106",0,0,0,1,1,0
"107",0,1,0,1,1,1
"108",0,1,0,1,1,1
"109",0,1,0,1,1,1
"110",0,1,0,1,1,1
"111",0,1,0,1,1,1
"112",0,1,1,1,1,0
"113",0,1,1,1,1,0
"114",1,1,1,1,1,0
"115",0,1,1,1,1,0
"116",0,1,1,1,1,0
"117",1,1,1,1,1,1
"118",1,1,0,1,1,1
"119",1,0,0,1,1,1
"120",1,0,0,1,1,1
"121",1,1,0,1,1,1
"122",1,1,0,0,1,0
"123",1,0,0,0,1,0
"124",1,1,0,0,1,0
"125",1,1,0,0,1,0
"126",1,0,0,0,1,0
"127",0,1,0,0,1,1
"128",0,0,0,0,1,1
"129",0,1,0,0,1,1
"130",0,1,0,0,1,1
"131",0,1,0,0,0,1
"132",1,1,1,1,1,0
"133",1,1,1,1,1,0
"134",1,1,0,1,1,0
"135",1,1,0,1,1,0
"136",1,1,0,1,1,0
"137",1,1,0,1,1,1
"138",1,1,0,1,1,1
"139",1,1,0,1,1,1
"140",1,1,0,1,1,1
"141",1,1,0,0,1,1
"142",1,1,0,0,1,0
"143",1,1,0,0,1,0
"144",1,1,0,0,1,0
"145",1,1,1,0,1,0
"146",1,1,1,0,1,0
"147",1,1,1,0,1,1
"148",1,1,1,0,1,1
"149",1,1,1,0,1,1
"150",1,1,1,0,1,1
"151",1,1,1,0,1,1
"152",1,1,0,0,1,0
"153",1,1,0,0,1,0
"154",1,1,0,0,1,0
"155",1,1,0,0,1,0
"156",1,1,0,0,1,0
"157",1,1,0,0,1,1
"158",1,1,0,0,1,1
"159",1,1,0,0,1,1
"160",1,1,0,0,1,1
"161",1,1,0,0,1,1
"162",0,1,0,1,1,0
"163",1,1,0,1,1,0
"164",1,1,0,1,1,0
"165",0,1,0,1,1,0
"166",1,1,0,0,1,0
"167",0,1,0,0,1,1
"168",0,1,0,0,1,1
"169",0,1,0,0,1,1
"170",0,1,0,0,1,1
"171",0,1,0,0,1,1
"172",1,0,1,1,1,0
"173",1,0,1,1,1,0
"174",1,0,1,1,1,0
"175",1,0,0,1,1,0
"176",1,0,0,1,1,0
"177",0,0,0,1,1,1
"178",0,0,0,1,1,1
"179",0,0,0,1,1,1
"180",1,0,0,1,1,1
